license_id,location_key
2077295-DCA,378B BEDFORD PARK BOULEVARD BRONX NY 10458 (Bronx)
2111039-DCA,537 5TH AVE APT B BROOKLYN NY 11215 (Brooklyn)
2127836-DCWP,3716 QUEENS BLVD LONG ISLAND CITY NY 11101 (Queens)
2115601-DCWP,364 MYRTLE AVE BROOKLYN NY 11205 (Brooklyn)
2120013-DCWP,13314 125TH ST SOUTH OZONE PARK NY 11420 (Queens)
2029318-DCA,698 AMSTERDAM AVENUE NEW YORK NY 10025 (Manhattan)
2081114-DCA,629 WEST 185 STREET APT 1 NEW YORK NY 10033 (Manhattan)
2128177-DCWP,171 BUSHWICK AVE BROOKLYN NY 11206 (Brooklyn)
2130084-DCWP,3120 BAINBRIDGE AVE BRONX NY 10467 (Bronx)
2127431-DCWP,8852 165TH ST JAMAICA NY 11432 (Queens)
2130412-1-DCWP,702 EVERGREEN AVE BROOKLYN NY 11207 (Brooklyn)
2117765-DCWP,82 GRAYSON ST STATEN ISLAND NY 10306 (Staten Island)
2113158-DCA,2001 149TH ST WHITESTONE NY 11357 (Queens)
2124271-DCWP,447 BROADWAY NEW YORK NY 10013 (Manhattan)
2027363-2-DCA,2172 21 STREET ASTORIA NY 11105 (Queens)
1344771-DCA,115 WEST   23 STREET NEW YORK NY 10011 (Manhattan)
2129617-DCWP,13526 ROOSEVELT AVE FLUSHING NY 11354 (Queens)
1256012-DCA,482 SLOSSON AVE STATEN ISLAND NY 10314 (Staten Island)
1336706-DCA,81 2 AVENUE NEW YORK NY 10003 (Manhattan)
2130805-1-DCWP,1349 SAINT NICHOLAS AVE NEW YORK NY 10033 (Manhattan)
1289450-DCA,1135 EASTERN PKWY BROOKLYN NY 11213 (Brooklyn)
2026725-2-DCA,980 MORRIS AVENUE BRONX NY 10456 (Bronx)
1083405-DCA,4344 WILDER AVE BRONX NY 10466 (Bronx)
1385065-DCA,78 W 47TH ST APT 28 NEW YORK NY 10036 (Manhattan)
1455934-DCA,13816 57TH RD APT BSM FLUSHING NY 11355 (Queens)
2128082-DCWP,206 E 116TH ST NEW YORK NY 10029 (Manhattan)
1423177-DCA,10441 41 AVENUE APT 1 CORONA NY 11368 (Queens)
2099585-DCA,333 WYONA ST BROOKLYN NY 11207 (Brooklyn)
2125425-DCWP,10905 SPRINGFIELD BLVD QUEENS VILLAGE NY 11429 (Queens)
2126029-DCWP,11320 202ND ST SAINT ALBANS NY 11412 (Queens)
2119187-DCWP,4025 ASTORIA BLVD NORTH ASTORIA NY 11105 (Queens)
2115922-DCWP,179 E 116TH ST NEW YORK NY 10029 (Manhattan)
2033511-DCA,8941 204TH ST HOLLIS NY 11423 (Queens)
2077952-DCA,13720 CROSSBAY BOULEVARD JAMAICA NY 11417 (Queens)
2124544-DCWP,249 AVENUE X BROOKLYN NY 11223 (Brooklyn)
0950556-DCA,522 VANDERBILT AVENUE BROOKLYN NY 11238 (Brooklyn)
2031090-DCA,275 E 170TH ST BRONX NY 10456 (Bronx)
1467710-DCA,658 FOREST AVE STATEN ISLAND NY 10310 (Staten Island)
2110386-DCA,258 BAY 43RD ST BROOKLYN NY 11214 (Brooklyn)
2119361-DCWP,76 9 AVENUE NEW YORK NY 10011 (Manhattan)
2108225-DCA,120 RIVERSIDE BOULEVARD NEW YORK NY 10069 (Manhattan)
1100416-DCA,940A SOUTHERN BLVD BRONX NY 10459 (Bronx)
2097815-DCA,2375 RICHMOND AVE STATEN ISLAND NY 10314 (Staten Island)
2058754-DCA,490 BUEL AVE STATEN ISLAND NY 10305 (Staten Island)
2026445-2-DCA,4302 8TH AVE BROOKLYN NY 11232 (Brooklyn)
2097340-DCA,2212 EAST   28 STREET BROOKLYN NY 11229 (Brooklyn)
2056346-DCA,306 EAST   61 STREET NEW YORK NY 10065 (Manhattan)
2116499-DCWP,137 MOTT ST NEW YORK NY 10013 (Manhattan)
2072124-1-DCA,476 COLUMBUS AVE NEW YORK NY 10024 (Manhattan)
2122532-DCWP,845 2ND AVE NEW YORK NY 10017 (Manhattan)
2101987-DCA,8910 METROPOLITAN AVE REGO PARK NY 11374 (Queens)
2129923-1-DCWP,4113 CHURCH AVE BROOKLYN NY 11203 (Brooklyn)
2097166-DCA,4228 COLLEGE POINT BOULEVARD APT 1 FLUSHING NY 11355 (Queens)
2015583-DCA,13611 FARMERS BLVD JAMAICA NY 11434 (Queens)
2117433-DCWP,50 W 47TH ST APT 1606 NEW YORK NY 10036 (Manhattan)
2024965-DCA,7608 JAMAICA AVENUE WOODHAVEN NY 11421 (Queens)
2098594-DCA,4809 KISSENA BLVD FLUSHING NY 11355 (Queens)
2129974-DCWP,300 WILD AVE STATEN ISLAND NY 10314 (Staten Island)
1423375-DCA,10 BUFFINGTON AVE STATEN ISLAND NY 10312 (Staten Island)
2118143-DCWP,513 BRIGHTON BEACH AVE BROOKLYN NY 11235 (Brooklyn)
2117438-1-DCWP,7254 AMBOY RD STATEN ISLAND NY 10307 (Staten Island)
2116123-DCWP,749 CONEY ISLAND AVE BROOKLYN NY 11218 (Brooklyn)
2057388-DCA,818 57TH ST BROOKLYN NY 11220 (Brooklyn)
2000228-DCA,100 4 PLACE APT L BROOKLYN NY 11231 (Brooklyn)
1473729-DCA,16629 JAMAICA AVENUE JAMAICA NY 11432 (Queens)
2115443-DCWP,3003 WEBSTER AVE BRONX NY 10458 (Bronx)
2105304-DCA,2261 WEST STREET BROOKLYN NY 11223 (Brooklyn)
2055613-DCA,204 UTICA AVE BROOKLYN NY 11213 (Brooklyn)
1160666-DCA,1714 STUART ST BROOKLYN NY 11229 (Brooklyn)
2056477-DCA,8902 165 STREET JAMAICA NY 11432 (Queens)
2097783-2-DCA,501 SENECA AVENUE RIDGEWOOD NY 11385 (Queens)
2128684-DCWP,19908 21ST AVE WHITESTONE NY 11357 (Queens)
2061540-DCA,1942 STUART ST BROOKLYN NY 11229 (Brooklyn)
1283954-DCA,630 ARTHUR KILL RD STATEN ISLAND NY 10308 (Staten Island)
1280230-DCA,9908 AVENUE L APT 1 BROOKLYN NY 11236 (Brooklyn)
2075620-DCA,2318 86TH ST BROOKLYN NY 11214 (Brooklyn)
2031160-DCA,670 MYRTLE AVENUE BROOKLYN NY 11205 (Brooklyn)
2003097-DCA,242 W 30TH ST APT 900 NEW YORK NY 10001 (Manhattan)
2022369-2-DCA,895A FRANKLIN AVENUE BROOKLYN NY 11225 (Brooklyn)
2054665-2-DCA,1418 E GUN HILL RD BRONX NY 10469 (Bronx)
2023148-DCA,3235 HULL AVE APT 3E BRONX NY 10467 (Bronx)
2115959-DCWP,4906 5 AVENUE BROOKLYN NY 11220 (Brooklyn)
1210530-DCA,6823 31ST AVE WOODSIDE NY 11377 (Queens)
2100598-DCA,3071 AVENUE U BROOKLYN NY 11229 (Brooklyn)
2113376-DCA,9608 AVENUE L BROOKLYN NY 11236 (Brooklyn)
2130837-DCWP,7605 ROOSEVELT AVE APT 2 JACKSON HEIGHTS NY 11372 (Queens)
1383067-DCA,120 KNICKERBOCKER AVENUE BROOKLYN NY 11237 (Brooklyn)
0988735-DCA,694 SACKETT STREET BROOKLYN NY 11217 (Brooklyn)
2129841-DCWP,1178 BROADWAY APT 3 NEW YORK NY 10001 (Manhattan)
2103479-DCA,223 LEE AVE BROOKLYN NY 11206 (Brooklyn)
1457640-DCA,6047 75TH ST MIDDLE VILLAGE NY 11379 (Queens)
2119090-DCWP,390 KINGS HWY APT 3B BROOKLYN NY 11223 (Brooklyn)
2109458-DCA,62 W FORDHAM RD BRONX NY 10468 (Bronx)
2034989-DCA,2142 WHITE PLAINS RD BRONX NY 10462 (Bronx)
1317869-DCA,1705 AVENUE U BROOKLYN NY 11229 (Brooklyn)
1327970-DCA,10012 ROOSEVELT AVE CORONA NY 11368 (Queens)
2129539-DCWP,7124 19TH AVE APT 2 BROOKLYN NY 11204 (Brooklyn)
2089413-DCA,12619 20 AVENUE COLLEGE POINT NY 11356 (Queens)
1376834-DCA,8947 198TH ST HOLLIS NY 11423 (Queens)
2120139-DCWP,2141 CROTONA AVE APT 6K BRONX NY 10457 (Bronx)
2116801-DCWP,6324 BAY PKWY BROOKLYN NY 11204 (Brooklyn)
0939720-DCA,3130 NOSTRAND AVE BROOKLYN NY 11229 (Brooklyn)
2028945-DCA,70 LAFAYETTE STREET NEW YORK NY 10013 (Manhattan)
2107208-DCA,1052 CONEY ISLAND AVE BROOKLYN NY 11230 (Brooklyn)
2030109-DCA,5408 MYRTLE AVE RIDGEWOOD NY 11385 (Queens)
2109771-DCA,7012 3RD AVE BROOKLYN NY 11209 (Brooklyn)
2125602-DCWP,1957 E 3RD ST BROOKLYN NY 11223 (Brooklyn)
2129299-DCWP,629 E 5TH ST NEW YORK NY 10009 (Manhattan)
2122507-DCWP,1761 W 5TH ST BROOKLYN NY 11223 (Brooklyn)
0942810-DCA,15414 28TH AVE FLUSHING NY 11354 (Queens)
2047143-DCA,453 86TH ST BROOKLYN NY 11209 (Brooklyn)
1406714-DCA,14 CLINTON AVE BROOKLYN NY 11205 (Brooklyn)
2107622-DCA,466 CARROLL ST BROOKLYN NY 11215 (Brooklyn)
1471928-DCA,281 N 6TH ST BROOKLYN NY 11211 (Brooklyn)
2126400-DCWP,7326 YELLOWSTONE BLVD FLUSHING NY 11375 (Queens)
2097020-DCA,196 LINDEN STREET APT 1 BROOKLYN NY 11221 (Brooklyn)
2057181-DCA,17020A HILLSIDE AVE JAMAICA NY 11432 (Queens)
2122114-DCWP,1775 CONEY ISLAND AVE APT 6C BROOKLYN NY 11230 (Brooklyn)
0854277-DCA,55 KOCH BOULEVARD STATEN ISLAND NY 10312 (Staten Island)
1442167-DCA,1637 STILLWELL AVE BRONX NY 10461 (Bronx)
2120327-DCWP,1449 STICKNEY PL BRONX NY 10469 (Bronx)
2042243-DCA,2042 72ND ST BROOKLYN NY 11204 (Brooklyn)
0975794-DCA,8152 LITTLE NECK PKWY GLEN OAKS NY 11004 (Queens)
2037050-DCA,13204 11TH AVE COLLEGE POINT NY 11356 (Queens)
2091863-2-DCA,4101 48 STREET LONG ISLAND CIT NY 11104 (Queens)
2114744-DCA,539 W 49TH ST APT 3D NEW YORK NY 10019 (Manhattan)
2104424-DCA,2429 42ND ST ASTORIA NY 11103 (Queens)
2105862-DCA,30 W 47TH ST APT 906 NEW YORK NY 10036 (Manhattan)
2022925-DCA,1950 CLOVE RD APT 341 STATEN ISLAND NY 10304 (Staten Island)
2073194-1-DCA,1881 MCGRAW AVE BRONX NY 10462 (Bronx)
2006477-DCA,6101 FRESH POND ROAD MIDDLE VILLAGE NY 11379 (Queens)
1343410-DCA,973 SOUTHERN BLVD BRONX NY 10459 (Bronx)
1155742-DCA,5106 NORTHERN BOULEVARD WOODSIDE NY 11377 (Queens)
2095807-1-DCA,2161 AMSTERDAM AVENUE NEW YORK NY 10001 (Manhattan)
2050361-DCA,403 EAST   60 STREET NEW YORK NY 10022 (Manhattan)
1474006-DCA,4531 BELL BLVD BAYSIDE NY 11361 (Queens)
2097120-DCA,9705 23RD AVE EAST ELMHURST NY 11369 (Queens)
2011929-DCA,13525 40 ROAD APT 2 FLUSHING NY 11354 (Queens)
